Primary County Coordinates;County;City;Year;Estimate
(43.0825804, -95.1509194);Clay;SPENCER;2015;11199.0
(43.0825804, -95.1509194);Clay;PETERSON;2015;322.0
(43.0825804, -95.1509194);Clay;BALANCE OF CLAY COUNTY;2014;3225.0
(43.0825804, -95.1509194);Clay;EVERLY;2014;586.0
(43.0825804, -95.1509194);Clay;DICKENS;2014;181.0
(43.0825804, -95.1509194);Clay;ROYAL;2014;432.0
(43.0825804, -95.1509194);Clay;FOSTORIA;2014;237.0
(43.0825804, -95.1509194);Clay;PETERSON;2014;322.0
(43.0825804, -95.1509194);Clay;ROSSIE;2014;71.0
(43.0825804, -95.1509194);Clay;WEBB;2014;136.0
(43.0825804, -95.1509194);Clay;GILLETT GROVE;2014;50.0
(43.0825804, -95.1509194);Clay;SPENCER;2014;11178.0
(43.0825804, -95.1509194);Clay;GREENVILLE;2014;73.0
(43.0825804, -95.1509194);Clay;BALANCE OF CLAY COUNTY;2013;3222.0
(43.0825804, -95.1509194);Clay;FOSTORIA;2013;237.0
(43.0825804, -95.1509194);Clay;SPENCER;2013;11126.0
(43.0825804, -95.1509194);Clay;GREENVILLE;2013;74.0
(43.0825804, -95.1509194);Clay;EVERLY;2013;587.0
(43.0825804, -95.1509194);Clay;ROSSIE;2013;71.0
(43.0825804, -95.1509194);Clay;PETERSON;2013;324.0
(43.0825804, -95.1509194);Clay;DICKENS;2013;182.0
(43.0825804, -95.1509194);Clay;GILLETT GROVE;2013;48.0
(43.0825804, -95.1509194);Clay;WEBB;2013;138.0
(43.0825804, -95.1509194);Clay;ROYAL;2013;433.0
(43.0825804, -95.1509194);Clay;GILLETT GROVE;2012;49.0
(43.0825804, -95.1509194);Clay;PETERSON;2012;328.0
(43.0825804, -95.1509194);Clay;WEBB;2012;140.0
(43.0825804, -95.1509194);Clay;SPENCER;2012;11159.0
(43.0825804, -95.1509194);Clay;DICKENS;2012;184.0
(43.0825804, -95.1509194);Clay;BALANCE OF CLAY COUNTY;2012;3259.0
(43.0825804, -95.1509194);Clay;ROSSIE;2012;72.0
(43.0825804, -95.1509194);Clay;ROYAL;2012;440.0
(43.0825804, -95.1509194);Clay;FOSTORIA;2012;240.0
(43.0825804, -95.1509194);Clay;GREENVILLE;2012;74.0
(43.0825804, -95.1509194);Clay;EVERLY;2012;595.0
(43.0825804, -95.1509194);Clay;SPENCER;2011;11194.0
(43.0825804, -95.1509194);Clay;DICKENS;2011;184.0
(43.0825804, -95.1509194);Clay;FOSTORIA;2011;243.0
(43.0825804, -95.1509194);Clay;ROYAL;2011;446.0
(43.0825804, -95.1509194);Clay;ROSSIE;2011;70.0
(43.0825804, -95.1509194);Clay;PETERSON;2011;330.0
(43.0825804, -95.1509194);Clay;WEBB;2011;140.0
(43.0825804, -95.1509194);Clay;BALANCE OF CLAY COUNTY;2011;3271.0
(43.0825804, -95.1509194);Clay;GILLETT GROVE;2011;49.0
(43.0825804, -95.1509194);Clay;EVERLY;2011;594.0
(43.0825804, -95.1509194);Clay;GREENVILLE;2011;74.0
(43.0825804, -95.1509194);Clay;EVERLY;2010;595.0
(43.0825804, -95.1509194);Clay;DICKENS;2010;184.0
(43.0825804, -95.1509194);Clay;WEBB;2010;141.0
(43.0825804, -95.1509194);Clay;FOSTORIA;2010;243.0
(43.0825804, -95.1509194);Clay;GREENVILLE;2010;75.0
(43.0825804, -95.1509194);Clay;PETERSON;2010;331.0
(43.0825804, -95.1509194);Clay;ROSSIE;2010;70.0
(43.0825804, -95.1509194);Clay;ROYAL;2010;445.0
(43.0825804, -95.1509194);Clay;SPENCER;2010;11219.0
(43.0825804, -95.1509194);Clay;BALANCE OF CLAY COUNTY;2010;3281.0
(43.0825804, -95.1509194);Clay;GILLETT GROVE;2010;49.0
(43.0825804, -95.1509194);Clay;FOSTORIA;2010;231.0
(43.0825804, -95.1509194);Clay;WEBB;2010;141.0
(43.0825804, -95.1509194);Clay;GILLETT GROVE;2010;49.0
(43.0825804, -95.1509194);Clay;ROSSIE;2010;70.0
(43.0825804, -95.1509194);Clay;SPENCER;2010;11233.0
(43.0825804, -95.1509194);Clay;GREENVILLE;2010;75.0
(43.0825804, -95.1509194);Clay;PETERSON;2010;334.0
(43.0825804, -95.1509194);Clay;BALANCE OF CLAY COUNTY;2010;3300.0
(43.0825804, -95.1509194);Clay;ROYAL;2010;446.0
(43.0825804, -95.1509194);Clay;EVERLY;2010;603.0
(43.0825804, -95.1509194);Clay;DICKENS;2010;185.0
(42.8447493, -91.3414328);Clayton;GARNAVILLO;2017;723.0
(42.8447493, -91.3414328);Clayton;EDGEWOOD;2017;285.0
(42.8447493, -91.3414328);Clayton;FARMERSBURG;2017;270.0
(42.8447493, -91.3414328);Clayton;VOLGA;2017;198.0
(42.8447493, -91.3414328);Clayton;ELKPORT;2017;38.0
(42.8447493, -91.3414328);Clayton;STRAWBERRY POINT;2017;1233.0
(42.8447493, -91.3414328);Clayton;ST. OLAF;2017;101.0
(42.8447493, -91.3414328);Clayton;MARQUETTE;2017;457.0
(42.8447493, -91.3414328);Clayton;CLAYTON;2017;41.0
(42.8447493, -91.3414328);Clayton;BALANCE OF CLAYTON COUNTY;2017;8103.0
(42.8447493, -91.3414328);Clayton;ELKADER;2017;1226.0
(42.8447493, -91.3414328);Clayton;OSTERDOCK;2017;57.0
(42.8447493, -91.3414328);Clayton;GARBER;2017;86.0
(42.8447493, -91.3414328);Clayton;MONONA;2017;1488.0
(42.8447493, -91.3414328);Clayton;LUANA;2017;275.0
(42.8447493, -91.3414328);Clayton;GUTTENBERG;2017;1828.0
(42.8447493, -91.3414328);Clayton;MCGREGOR;2017;844.0
(42.8447493, -91.3414328);Clayton;NORTH BUENA VISTA;2017;120.0
(42.8447493, -91.3414328);Clayton;POSTVILLE;2017;264.0
(42.8447493, -91.3414328);Clayton;CLAYTON;2016;41.0
(42.8447493, -91.3414328);Clayton;STRAWBERRY POINT;2016;1234.0
(42.8447493, -91.3414328);Clayton;FARMERSBURG;2016;273.0
(42.8447493, -91.3414328);Clayton;MCGREGOR;2016;849.0
(42.8447493, -91.3414328);Clayton;POSTVILLE;2016;265.0
(42.8447493, -91.3414328);Clayton;NORTH BUENA VISTA;2016;120.0
(42.8447493, -91.3414328);Clayton;MARQUETTE;2016;455.0
(42.8447493, -91.3414328);Clayton;MONONA;2016;1494.0
(42.8447493, -91.3414328);Clayton;BALANCE OF CLAYTON COUNTY;2016;8091.0
(42.8447493, -91.3414328);Clayton;EDGEWOOD;2016;284.0
(42.8447493, -91.3414328);Clayton;ELKPORT;2016;38.0
(42.8447493, -91.3414328);Clayton;VOLGA;2016;199.0
(42.8447493, -91.3414328);Clayton;GARBER;2016;87.0
(42.8447493, -91.3414328);Clayton;GARNAVILLO;2016;724.0
(42.8447493, -91.3414328);Clayton;LUANA;2016;277.0
(42.8447493, -91.3414328);Clayton;OSTERDOCK;2016;57.0
(42.8447493, -91.3414328);Clayton;GUTTENBERG;2016;1837.0
(42.8447493, -91.3414328);Clayton;ST. OLAF;2016;102.0
(42.8447493, -91.3414328);Clayton;ELKADER;2016;1220.0
(42.8447493, -91.3414328);Clayton;ELKPORT;2015;36.0
(42.8447493, -91.3414328);Clayton;MONONA;2015;1503.0
(42.8447493, -91.3414328);Clayton;POSTVILLE;2015;269.0
(42.8447493, -91.3414328);Clayton;OSTERDOCK;2015;57.0
(42.8447493, -91.3414328);Clayton;MARQUETTE;2015;456.0
(42.8447493, -91.3414328);Clayton;LUANA;2015;274.0
(42.8447493, -91.3414328);Clayton;GARBER;2015;87.0
(42.8447493, -91.3414328);Clayton;VOLGA;2015;200.0
(42.8447493, -91.3414328);Clayton;BALANCE OF CLAYTON COUNTY;2015;8113.0
(42.8447493, -91.3414328);Clayton;EDGEWOOD;2015;284.0
(42.8447493, -91.3414328);Clayton;ELKADER;2015;1221.0
(42.8447493, -91.3414328);Clayton;ST. OLAF;2015;102.0
(42.8447493, -91.3414328);Clayton;CLAYTON;2015;42.0
(42.8447493, -91.3414328);Clayton;GARNAVILLO;2015;730.0
(42.8447493, -91.3414328);Clayton;GUTTENBERG;2015;1856.0
(42.8447493, -91.3414328);Clayton;STRAWBERRY POINT;2015;1242.0
(42.8447493, -91.3414328);Clayton;NORTH BUENA VISTA;2015;119.0
(42.8447493, -91.3414328);Clayton;MCGREGOR;2015;849.0
(42.8447493, -91.3414328);Clayton;FARMERSBURG;2015;275.0
(42.8447493, -91.3414328);Clayton;ST. OLAF;2014;106.0
(42.8447493, -91.3414328);Clayton;CLAYTON;2014;42.0
(42.8447493, -91.3414328);Clayton;GUTTENBERG;2014;1875.0
(42.8447493, -91.3414328);Clayton;MCGREGOR;2014;845.0
(42.8447493, -91.3414328);Clayton;FARMERSBURG;2014;276.0
(42.8447493, -91.3414328);Clayton;ELKADER;2014;1227.0
(42.8447493, -91.3414328);Clayton;NORTH BUENA VISTA;2014;120.0
(42.8447493, -91.3414328);Clayton;BALANCE OF CLAYTON COUNTY;2014;8120.0
(42.8447493, -91.3414328);Clayton;MONONA;2014;1511.0
(42.8447493, -91.3414328);Clayton;OSTERDOCK;2014;57.0
(42.8447493, -91.3414328);Clayton;GARBER;2014;86.0
(42.8447493, -91.3414328);Clayton;MARQUETTE;2014;456.0
(42.8447493, -91.3414328);Clayton;STRAWBERRY POINT;2014;1247.0
(42.8447493, -91.3414328);Clayton;GARNAVILLO;2014;731.0
(42.8447493, -91.3414328);Clayton;POSTVILLE;2014;270.0
(42.8447493, -91.3414328);Clayton;EDGEWOOD;2014;285.0
(42.8447493, -91.3414328);Clayton;ELKPORT;2014;36.0
(42.8447493, -91.3414328);Clayton;VOLGA;2014;200.0
(42.8447493, -91.3414328);Clayton;LUANA;2014;273.0
(42.8447493, -91.3414328);Clayton;GUTTENBERG;2013;1873.0
(42.8447493, -91.3414328);Clayton;BALANCE OF CLAYTON COUNTY;2013;8127.0
(42.8447493, -91.3414328);Clayton;ELKADER;2013;1233.0
(42.8447493, -91.3414328);Clayton;FARMERSBURG;2013;282.0
(42.8447493, -91.3414328);Clayton;MONONA;2013;1517.0
(42.8447493, -91.3414328);Clayton;ELKPORT;2013;36.0
(42.8447493, -91.3414328);Clayton;POSTVILLE;2013;271.0
(42.8447493, -91.3414328);Clayton;GARNAVILLO;2013;734.0
(42.8447493, -91.3414328);Clayton;EDGEWOOD;2013;284.0
(42.8447493, -91.3414328);Clayton;ST. OLAF;2013;107.0
(42.8447493, -91.3414328);Clayton;STRAWBERRY POINT;2013;1254.0
(42.8447493, -91.3414328);Clayton;MARQUETTE;2013;456.0
(42.8447493, -91.3414328);Clayton;CLAYTON;2013;42.0
(42.8447493, -91.3414328);Clayton;GARBER;2013;86.0
(42.8447493, -91.3414328);Clayton;MCGREGOR;2013;840.0
(42.8447493, -91.3414328);Clayton;LUANA;2013;267.0
(42.8447493, -91.3414328);Clayton;NORTH BUENA VISTA;2013;120.0
(42.8447493, -91.3414328);Clayton;OSTERDOCK;2013;58.0
(42.8447493, -91.3414328);Clayton;VOLGA;2013;205.0
(42.8447493, -91.3414328);Clayton;FARMERSBURG;2012;295.0
(42.8447493, -91.3414328);Clayton;GARBER;2012;87.0
(42.8447493, -91.3414328);Clayton;POSTVILLE;2012;274.0
(42.8447493, -91.3414328);Clayton;MONONA;2012;1528.0
(42.8447493, -91.3414328);Clayton;EDGEWOOD;2012;287.0
(42.8447493, -91.3414328);Clayton;STRAWBERRY POINT;2012;1260.0
(42.8447493, -91.3414328);Clayton;ELKPORT;2012;37.0
(42.8447493, -91.3414328);Clayton;ELKADER;2012;1248.0
(42.8447493, -91.3414328);Clayton;MCGREGOR;2012;853.0
(42.8447493, -91.3414328);Clayton;OSTERDOCK;2012;58.0
(42.8447493, -91.3414328);Clayton;BALANCE OF CLAYTON COUNTY;2012;8179.0
(42.8447493, -91.3414328);Clayton;MARQUETTE;2012;460.0
(42.8447493, -91.3414328);Clayton;ST. OLAF;2012;110.0
(42.8447493, -91.3414328);Clayton;CLAYTON;2012;42.0
(42.8447493, -91.3414328);Clayton;GUTTENBERG;2012;1899.0
(42.8447493, -91.3414328);Clayton;GARNAVILLO;2012;734.0
(42.8447493, -91.3414328);Clayton;VOLGA;2012;209.0
(42.8447493, -91.3414328);Clayton;LUANA;2012;267.0
(42.8447493, -91.3414328);Clayton;NORTH BUENA VISTA;2012;121.0
(42.8447493, -91.3414328);Clayton;STRAWBERRY POINT;2011;1267.0
(42.8447493, -91.3414328);Clayton;BALANCE OF CLAYTON COUNTY;2011;8195.0
(42.8447493, -91.3414328);Clayton;MCGREGOR;2011;866.0
(42.8447493, -91.3414328);Clayton;ST. OLAF;2011;108.0
(42.8447493, -91.3414328);Clayton;ELKADER;2011;1259.0
(42.8447493, -91.3414328);Clayton;OSTERDOCK;2011;59.0
(42.8447493, -91.3414328);Clayton;POSTVILLE;2011;278.0
(42.8447493, -91.3414328);Clayton;MARQUETTE;2011;459.0
(42.8447493, -91.3414328);Clayton;GUTTENBERG;2011;1905.0
(42.8447493, -91.3414328);Clayton;ELKPORT;2011;37.0
(42.8447493, -91.3414328);Clayton;VOLGA;2011;210.0
(42.8447493, -91.3414328);Clayton;CLAYTON;2011;43.0
(42.8447493, -91.3414328);Clayton;NORTH BUENA VISTA;2011;120.0
(42.8447493, -91.3414328);Clayton;GARNAVILLO;2011;742.0
(42.8447493, -91.3414328);Clayton;LUANA;2011;267.0
(42.8447493, -91.3414328);Clayton;FARMERSBURG;2011;298.0
(42.8447493, -91.3414328);Clayton;MONONA;2011;1540.0
(42.8447493, -91.3414328);Clayton;EDGEWOOD;2011;278.0
(42.8447493, -91.3414328);Clayton;GARBER;2011;87.0
(42.8447493, -91.3414328);Clayton;ST. OLAF;2010;108.0
(42.8447493, -91.3414328);Clayton;ELKPORT;2010;37.0
(42.8447493, -91.3414328);Clayton;ELKADER;2010;1271.0
(42.8447493, -91.3414328);Clayton;OSTERDOCK;2010;59.0
(42.8447493, -91.3414328);Clayton;CLAYTON;2010;43.0
(42.8447493, -91.3414328);Clayton;NORTH BUENA VISTA;2010;121.0
(42.8447493, -91.3414328);Clayton;GARBER;2010;88.0
(42.8447493, -91.3414328);Clayton;BALANCE OF CLAYTON COUNTY;2010;8215.0
(42.8447493, -91.3414328);Clayton;POSTVILLE;2010;279.0
(42.8447493, -91.3414328);Clayton;STRAWBERRY POINT;2010;1275.0
(42.8447493, -91.3414328);Clayton;GARNAVILLO;2010;744.0
(42.8447493, -91.3414328);Clayton;EDGEWOOD;2010;279.0
(42.8447493, -91.3414328);Clayton;MONONA;2010;1544.0
(42.8447493, -91.3414328);Clayton;FARMERSBURG;2010;301.0
(42.8447493, -91.3414328);Clayton;VOLGA;2010;207.0
(42.8447493, -91.3414328);Clayton;MCGREGOR;2010;868.0
(42.8447493, -91.3414328);Clayton;LUANA;2010;268.0
(42.8447493, -91.3414328);Clayton;GUTTENBERG;2010;1914.0
(42.8447493, -91.3414328);Clayton;MARQUETTE;2010;460.0
(42.8447493, -91.3414328);Clayton;EDGEWOOD;2010;280.0
(42.8447493, -91.3414328);Clayton;ELKPORT;2010;37.0
(42.8447493, -91.3414328);Clayton;MCGREGOR;2010;871.0
(42.8447493, -91.3414328);Clayton;GARBER;2010;88.0
(42.8447493, -91.3414328);Clayton;ST. OLAF;2010;108.0
(42.8447493, -91.3414328);Clayton;LUANA;2010;269.0
(42.8447493, -91.3414328);Clayton;POSTVILLE;2010;280.0
(42.8447493, -91.3414328);Clayton;MARQUETTE;2010;375.0
(42.8447493, -91.3414328);Clayton;CLAYTON;2010;43.0
(42.8447493, -91.3414328);Clayton;GARNAVILLO;2010;745.0
(42.8447493, -91.3414328);Clayton;OSTERDOCK;2010;59.0
(42.8447493, -91.3414328);Clayton;STRAWBERRY POINT;2010;1279.0
(42.8447493, -91.3414328);Clayton;GUTTENBERG;2010;1919.0
(42.8447493, -91.3414328);Clayton;VOLGA;2010;208.0
(42.8447493, -91.3414328);Clayton;ELKADER;2010;1273.0
(42.8447493, -91.3414328);Clayton;BALANCE OF CLAYTON COUNTY;2010;8293.0
(42.8447493, -91.3414328);Clayton;FARMERSBURG;2010;302.0
(42.8447493, -91.3414328);Clayton;MONONA;2010;1549.0
(42.8447493, -91.3414328);Clayton;NORTH BUENA VISTA;2010;121.0
(41.8980358, -90.5319724);Clinton;WELTON;2017;154.0
(41.8980358, -90.5319724);Clinton;BALANCE OF CLINTON COUNTY;2017;8102.0
(41.8980358, -90.5319724);Clinton;WHEATLAND;2017;731.0
(41.8980358, -90.5319724);Clinton;DE WITT;2017;5218.0
(42.8447493, -90.5319724);Clinton;ANDOVER;2017;100.0
(41.8980358, -90.5319724);Clinton;LOST NATION;2017;418.0
(41.8980358, -90.5319724);Clinton;CAMANCHE;2017;4305.0
(41.8980358, -90.5319724);Clinton;GOOSE LAKE;2017;225.0
(41.8980358, -90.5319724);Clinton;MAQUOKETA;2017;2.0
(41.8980358, -90.5319724);Clinton;LOW MOOR;2017;269.0
(41.8980358, -90.5319724);Clinton;CHARLOTTE;2017;370.0
(41.8980358, -90.5319724);Clinton;CLINTON;2017;25480.0
(41.8980358, -90.5319724);Clinton;GRAND MOUND;2017;610.0
(41.8980358, -90.5319724);Clinton;CALAMUS;2017;410.0
(41.8980358, -90.5319724);Clinton;TORONTO;2017;120.0
(41.8980358, -90.5319724);Clinton;DELMAR;2017;496.0
(41.8980358, -90.5319724);Clinton;TORONTO;2016;121.0
(41.8980358, -90.5319724);Clinton;BALANCE OF CLINTON COUNTY;2016;8112.0
(41.8980358, -90.5319724);Clinton;GRAND MOUND;2016;614.0
(41.8980358, -90.5319724);Clinton;MAQUOKETA;2016;2.0
(41.8980358, -90.5319724);Clinton;CLINTON;2016;25654.0
(41.8980358, -90.5319724);Clinton;WHEATLAND;2016;733.0
(42.8447493, -90.5319724);Clinton;ANDOVER;2016;101.0
(41.8980358, -90.5319724);Clinton;CHARLOTTE;2016;372.0
(41.8980358, -90.5319724);Clinton;DE WITT;2016;5212.0
(41.8980358, -90.5319724);Clinton;GOOSE LAKE;2016;227.0
(41.8980358, -90.5319724);Clinton;LOW MOOR;2016;271.0
(41.8980358, -90.5319724);Clinton;CAMANCHE;2016;4326.0
(41.8980358, -90.5319724);Clinton;WELTON;2016;155.0
(41.8980358, -90.5319724);Clinton;DELMAR;2016;500.0
(41.8980358, -90.5319724);Clinton;CALAMUS;2016;415.0
(41.8980358, -90.5319724);Clinton;LOST NATION;2016;421.0
(41.8980358, -90.5319724);Clinton;DE WITT;2015;5219.0
(41.8980358, -90.5319724);Clinton;WELTON;2015;156.0
(41.8980358, -90.5319724);Clinton;MAQUOKETA;2015;2.0
(41.8980358, -90.5319724);Clinton;CAMANCHE;2015;4350.0
(41.8980358, -90.5319724);Clinton;LOST NATION;2015;426.0
(41.8980358, -90.5319724);Clinton;WHEATLAND;2015;740.0
(41.8980358, -90.5319724);Clinton;CHARLOTTE;2015;377.0
(41.8980358, -90.5319724);Clinton;GRAND MOUND;2015;618.0
(41.8980358, -90.5319724);Clinton;LOW MOOR;2015;273.0
(41.8980358, -90.5319724);Clinton;DELMAR;2015;506.0
(41.8980358, -90.5319724);Clinton;GOOSE LAKE;2015;229.0
(41.8980358, -90.5319724);Clinton;BALANCE OF CLINTON COUNTY;2015;8152.0
(42.8447493, -90.5319724);Clinton;ANDOVER;2015;102.0
(41.8980358, -90.5319724);Clinton;CALAMUS;2015;418.0
(41.8980358, -90.5319724);Clinton;CLINTON;2015;25856.0
(41.8980358, -90.5319724);Clinton;TORONTO;2015;121.0
(41.8980358, -90.5319724);Clinton;BALANCE OF CLINTON COUNTY;2014;8181.0
(41.8980358, -90.5319724);Clinton;CHARLOTTE;2014;380.0
(41.8980358, -90.5319724);Clinton;LOST NATION;2014;428.0
(41.8980358, -90.5319724);Clinton;LOW MOOR;2014;277.0
(41.8980358, -90.5319724);Clinton;CLINTON;2014;26104.0
(41.8980358, -90.5319724);Clinton;GOOSE LAKE;2014;233.0
(41.8980358, -90.5319724);Clinton;WHEATLAND;2014;747.0
(41.8980358, -90.5319724);Clinton;TORONTO;2014;122.0
(41.8980358, -90.5319724);Clinton;GRAND MOUND;2014;625.0
(42.8447493, -90.5319724);Clinton;ANDOVER;2014;102.0
(41.8980358, -90.5319724);Clinton;DE WITT;2014;5233.0
(41.8980358, -90.5319724);Clinton;CAMANCHE;2014;4363.0
(41.8980358, -90.5319724);Clinton;MAQUOKETA;2014;2.0
(41.8980358, -90.5319724);Clinton;DELMAR;2014;507.0
(41.8980358, -90.5319724);Clinton;WELTON;2014;157.0
(41.8980358, -90.5319724);Clinton;CALAMUS;2014;421.0
(41.8980358, -90.5319724);Clinton;CHARLOTTE;2013;383.0
(41.8980358, -90.5319724);Clinton;WHEATLAND;2013;754.0
(41.8980358, -90.5319724);Clinton;BALANCE OF CLINTON COUNTY;2013;8214.0
(42.8447493, -90.5319724);Clinton;ANDOVER;2013;101.0
(41.8980358, -90.5319724);Clinton;DE WITT;2013;5264.0
(41.8980358, -90.5319724);Clinton;LOW MOOR;2013;279.0
(41.8980358, -90.5319724);Clinton;GRAND MOUND;2013;630.0
(41.8980358, -90.5319724);Clinton;GOOSE LAKE;2013;235.0
(41.8980358, -90.5319724);Clinton;CLINTON;2013;26348.0
(41.8980358, -90.5319724);Clinton;MAQUOKETA;2013;2.0
(41.8980358, -90.5319724);Clinton;CAMANCHE;2013;4400.0
(41.8980358, -90.5319724);Clinton;LOST NATION;2013;432.0
(41.8980358, -90.5319724);Clinton;TORONTO;2013;121.0
(41.8980358, -90.5319724);Clinton;WELTON;2013;161.0
(41.8980358, -90.5319724);Clinton;CALAMUS;2013;427.0
(41.8980358, -90.5319724);Clinton;DELMAR;2013;513.0
(41.8980358, -90.5319724);Clinton;DE WITT;2012;5296.0
(41.8980358, -90.5319724);Clinton;LOST NATION;2012;438.0
(41.8980358, -90.5319724);Clinton;GRAND MOUND;2012;636.0
(41.8980358, -90.5319724);Clinton;GOOSE LAKE;2012;234.0
(41.8980358, -90.5319724);Clinton;BALANCE OF CLINTON COUNTY;2012;8283.0
(41.8980358, -90.5319724);Clinton;CAMANCHE;2012;4433.0
(42.8447493, -90.5319724);Clinton;ANDOVER;2012;102.0
(41.8980358, -90.5319724);Clinton;DELMAR;2012;518.0
(41.8980358, -90.5319724);Clinton;LOW MOOR;2012;282.0
(41.8980358, -90.5319724);Clinton;WHEATLAND;2012;765.0
(41.8980358, -90.5319724);Clinton;CHARLOTTE;2012;387.0
(41.8980358, -90.5319724);Clinton;CALAMUS;2012;431.0
(41.8980358, -90.5319724);Clinton;WELTON;2012;163.0
(41.8980358, -90.5319724);Clinton;CLINTON;2012;26605.0
(41.8980358, -90.5319724);Clinton;TORONTO;2012;125.0
(41.8980358, -90.5319724);Clinton;MAQUOKETA;2012;2.0
(41.8980358, -90.5319724);Clinton;LOW MOOR;2011;287.0
(41.8980358, -90.5319724);Clinton;CALAMUS;2011;437.0
(41.8980358, -90.5319724);Clinton;GOOSE LAKE;2011;239.0
(41.8980358, -90.5319724);Clinton;CLINTON;2011;26877.0
(41.8980358, -90.5319724);Clinton;GRAND MOUND;2011;641.0
(41.8980358, -90.5319724);Clinton;CHARLOTTE;2011;392.0
(41.8980358, -90.5319724);Clinton;WHEATLAND;2011;760.0
(41.8980358, -90.5319724);Clinton;MAQUOKETA;2011;2.0
(41.8980358, -90.5319724);Clinton;CAMANCHE;2011;4455.0
(41.8980358, -90.5319724);Clinton;BALANCE OF CLINTON COUNTY;2011;8330.0
(41.8980358, -90.5319724);Clinton;DELMAR;2011;522.0
(41.8980358, -90.5319724);Clinton;WELTON;2011;164.0
(41.8980358, -90.5319724);Clinton;LOST NATION;2011;442.0
(42.8447493, -90.5319724);Clinton;ANDOVER;2011;102.0
(41.8980358, -90.5319724);Clinton;TORONTO;2011;123.0
(41.8980358, -90.5319724);Clinton;DE WITT;2011;5313.0
(41.8980358, -90.5319724);Clinton;WELTON;2010;165.0
(41.8980358, -90.5319724);Clinton;MAQUOKETA;2010;2.0
(41.8980358, -90.5319724);Clinton;GRAND MOUND;2010;641.0
(41.8980358, -90.5319724);Clinton;BALANCE OF CLINTON COUNTY;2010;8333.0
(41.8980358, -90.5319724);Clinton;LOST NATION;2010;446.0
(41.8980358, -90.5319724);Clinton;CAMANCHE;2010;4450.0
(41.8980358, -90.5319724);Clinton;LOW MOOR;2010;288.0
(41.8980358, -90.5319724);Clinton;DE WITT;2010;5319.0
(41.8980358, -90.5319724);Clinton;DELMAR;2010;525.0
(41.8980358, -90.5319724);Clinton;WHEATLAND;2010;763.0
(41.8980358, -90.5319724);Clinton;CHARLOTTE;2010;394.0
(42.8447493, -90.5319724);Clinton;ANDOVER;2010;103.0
(41.8980358, -90.5319724);Clinton;GOOSE LAKE;2010;240.0
(41.8980358, -90.5319724);Clinton;CLINTON;2010;26860.0
(41.8980358, -90.5319724);Clinton;TORONTO;2010;124.0
(41.8980358, -90.5319724);Clinton;CALAMUS;2010;439.0
(41.8980358, -90.5319724);Clinton;CAMANCHE;2010;4448.0
(41.8980358, -90.5319724);Clinton;CLINTON;2010;26885.0
(41.8980358, -90.5319724);Clinton;DELMAR;2010;525.0
(41.8980358, -90.5319724);Clinton;LOW MOOR;2010;288.0
(41.8980358, -90.5319724);Clinton;MAQUOKETA;2010;2.0
(41.8980358, -90.5319724);Clinton;TORONTO;2010;124.0
(41.8980358, -90.5319724);Clinton;GRAND MOUND;2010;642.0
(41.8980358, -90.5319724);Clinton;WHEATLAND;2010;764.0
(41.8980358, -90.5319724);Clinton;WELTON;2010;165.0
(41.8980358, -90.5319724);Clinton;GOOSE LAKE;2010;240.0
(41.8980358, -90.5319724);Clinton;CHARLOTTE;2010;394.0
(41.8980358, -90.5319724);Clinton;LOST NATION;2010;446.0
(41.8980358, -90.5319724);Clinton;BALANCE OF CLINTON COUNTY;2010;8329.0
(42.8447493, -90.5319724);Clinton;ANDOVER;2010;103.0
(41.8980358, -90.5319724);Clinton;DE WITT;2010;5322.0
(41.8980358, -90.5319724);Clinton;CALAMUS;2010;439.0
(42.0372125, -95.3819678);Crawford;DUNLAP;2017;0.0
(42.0372125, -95.3819678);Crawford;RICKETTS;2017;137.0
(42.0372125, -95.3819678);Crawford;CHARTER OAK;2017;487.0
(42.0372125, -95.3819678);Crawford;MANILLA;2017;765.0
(42.0372125, -95.3819678);Crawford;SCHLESWIG;2017;874.0
(42.0372125, -95.3819678);Crawford;WESTSIDE;2017;293.0
(42.0372125, -95.3819678);Crawford;BALANCE OF CRAWFORD COUNTY;2017;4494.0
(42.0372125, -95.3819678);Crawford;ASPINWALL;2017;39.0
(42.0372125, -95.3819678);Crawford;DENISON;2017;8362.0
(42.0372125, -95.3819678);Crawford;DOW CITY;2017;503.0
(42.0372125, -95.3819678);Crawford;VAIL;2017;423.0
(42.0372125, -95.3819678);Crawford;KIRON;2017;270.0
(42.0372125, -95.3819678);Crawford;BUCK GROVE;2017;42.0
(42.0372125, -95.3819678);Crawford;DELOIT;2017;259.0
(41.8980358, -95.3819678);Crawford;ARION;2017;108.0
(42.0372125, -95.3819678);Crawford;DELOIT;2016;259.0
(42.0372125, -95.3819678);Crawford;RICKETTS;2016;137.0
(42.0372125, -95.3819678);Crawford;DUNLAP;2016;0.0
(42.0372125, -95.3819678);Crawford;WESTSIDE;2016;293.0
(41.8980358, -95.3819678);Crawford;ARION;2016;108.0
(42.0372125, -95.3819678);Crawford;BUCK GROVE;2016;42.0
(42.0372125, -95.3819678);Crawford;MANILLA;2016;766.0
(42.0372125, -95.3819678);Crawford;KIRON;2016;269.0
(42.0372125, -95.3819678);Crawford;CHARTER OAK;2016;488.0
(42.0372125, -95.3819678);Crawford;SCHLESWIG;2016;870.0
